"Process","Gene_label","Group","Group_label","System","Mean","LogMean"
"Nitrification","hao","CK1","CK1","NH system",1412,3.15014216184856
"Nitrification","hao","CK2","CK2","NO system",1168,3.06781451116184
"Nitrification","hao","NH1","NH_Low","NH system",1532,3.18554215485437
"Nitrification","hao","NH2","NH_Mid","NH system",1016,3.00732095292274
"Nitrification","hao","NH3","NH_High","NH system",1393.33333333333,3.14436660986097
"Nitrification","hao","NO1","NO_Low","NO system",994.666666666667,2.99811396788447
"Nitrification","hao","NO2","NO_Mid","NO system",1764,3.24674470972384
"Nitrification","hao","NO3","NO_High","NO system",1510.66666666667,3.17945603667645
"Denitrification","nirK","CK1","CK1","NH system",3244,3.51121470113639
"Denitrification","nirK","CK2","CK2","NO system",2604,3.41580772763554
"Denitrification","nirK","NH1","NH_Low","NH system",4524,3.65561858354122
"Denitrification","nirK","NH2","NH_Mid","NH system",3946.66666666667,3.59634047456017
"Denitrification","nirK","NH3","NH_High","NH system",4648,3.66735954618309
"Denitrification","nirK","NO1","NO_Low","NO system",2732,3.43663963169266
"Denitrification","nirK","NO2","NO_Mid","NO system",4709.33333333333,3.67305164167347
"Denitrification","nirK","NO3","NO_High","NO system",3729.33333333333,3.57174764102027
"Denitrification","nirS","CK1","CK1","NH system",1418.66666666667,3.15218638535409
"Denitrification","nirS","CK2","CK2","NO system",1222.66666666667,3.08766312978432
"Denitrification","nirS","NH1","NH_Low","NH system",1613.33333333333,3.20799321432688
"Denitrification","nirS","NH2","NH_Mid","NH system",1738.66666666667,3.2404660421358
"Denitrification","nirS","NH3","NH_High","NH system",1412,3.15014216184856
"Denitrification","nirS","NO1","NO_Low","NO system",1129.33333333333,3.05320653505842
"Denitrification","nirS","NO2","NO_Mid","NO system",1697.33333333333,3.23002293362278
"Denitrification","nirS","NO3","NO_High","NO system",1358.66666666667,3.13343245059743
"Denitrification","norB","CK1","CK1","NH system",1140,3.05728564441821
"Denitrification","norB","CK2","CK2","NO system",1149.33333333333,3.06082370457182
"Denitrification","norB","NH1","NH_Low","NH system",1454.66666666667,3.16306193720168
"Denitrification","norB","NH2","NH_Mid","NH system",1374.66666666667,3.13851321415775
"Denitrification","norB","NH3","NH_High","NH system",1140,3.05728564441821
"Denitrification","norB","NO1","NO_Low","NO system",1084,3.03542973818455
"Denitrification","norB","NO2","NO_Mid","NO system",1418.66666666667,3.15218638535409
"Denitrification","norB","NO3","NO_High","NO system",1633.33333333333,3.21334063852652
"Denitrification","norC","CK1","CK1","NH system",173.333333333333,2.24138043414761
"Denitrification","norC","CK2","CK2","NO system",143.333333333333,2.1593666416337
"Denitrification","norC","NH1","NH_Low","NH system",160,2.20682587603185
"Denitrification","norC","NH2","NH_Mid","NH system",168,2.22788670461367
"Denitrification","norC","NH3","NH_High","NH system",146.666666666667,2.16928247150341
"Denitrification","norC","NO1","NO_Low","NO system",126.666666666667,2.10607751924896
"Denitrification","norC","NO2","NO_Mid","NO system",137.333333333333,2.14092684199243
"Denitrification","norC","NO3","NO_High","NO system",161.333333333333,2.21040770649497
"Denitrification","nosZ","CK1","CK1","NH system",1374.66666666667,3.13851321415775
"Denitrification","nosZ","CK2","CK2","NO system",1398.66666666667,3.14602461991828
"Denitrification","nosZ","NH1","NH_Low","NH system",1852,3.2678754193189
"Denitrification","nosZ","NH2","NH_Mid","NH system",1721.33333333333,3.236117206826
"Denitrification","nosZ","NH3","NH_High","NH system",2076,3.3174364965351
"Denitrification","nosZ","NO1","NO_Low","NO system",1218.66666666667,3.08624115476695
"Denitrification","nosZ","NO2","NO_Mid","NO system",1994.66666666667,3.30008800342602
"Denitrification","nosZ","NO3","NO_High","NO system",1429.33333333333,3.15543725981301
"DNRA","nrfA","CK1","CK1","NH system",281.333333333333,2.45076215561104
"DNRA","nrfA","CK2","CK2","NO system",260,2.41664050733828
"DNRA","nrfA","NH1","NH_Low","NH system",328.666666666667,2.51807503687752
"DNRA","nrfA","NH2","NH_Mid","NH system",286,2.45788189673399
"DNRA","nrfA","NH3","NH_High","NH system",358.666666666667,2.55590018996325
"DNRA","nrfA","NO1","NO_Low","NO system",264,2.42324587393681
"DNRA","nrfA","NO2","NO_Mid","NO system",393.333333333333,2.59586348990827
"DNRA","nrfA","NO3","NO_High","NO system",345.333333333333,2.53949429283752
"DNRA","nrfH","CK1","CK1","NH system",205.333333333333,2.31456939430046
"DNRA","nrfH","CK2","CK2","NO system",172.666666666667,2.23971646857986
"DNRA","nrfH","NH1","NH_Low","NH system",284,2.45484486000851
"DNRA","nrfH","NH2","NH_Mid","NH system",192,2.28555730900777
"DNRA","nrfH","NH3","NH_High","NH system",264.666666666667,2.42433706667645
