"Group","Group_label","System","Process","Mean","SD","ymin","ymax"
"CK1","CK1","NH system","Nitrification",1412,990.741136725431,421.258863274569,2402.74113672543
"CK1","CK1","NH system","Denitrification",7350.66666666667,948.333977738504,6402.33268892816,8299.00064440517
"CK1","CK1","NH system","DNRA",486.666666666667,96.4641556918078,390.202510974859,583.130822358474
"CK1","CK1","NH system","Ammonia assimilation",7186,1324.42893354079,5861.57106645921,8510.42893354079
"CK1","CK1","NH system","Nitrogen fixation",406,142.281411294659,263.718588705341,548.281411294659
"CK1","CK1","NH system","Urea decomposition",892,571.317774972913,320.682225027087,1463.31777497291
"CK2","CK2","NO system","Nitrification",1168,698.07735960995,469.92264039005,1866.07735960995
"CK2","CK2","NO system","Denitrification",6518,1495.19363294525,5022.80636705475,8013.19363294525
"CK2","CK2","NO system","DNRA",432.666666666667,65.2482439099577,367.418422756709,497.914910576624
"CK2","CK2","NO system","Ammonia assimilation",5407.33333333333,1066.00250156054,4341.33083177279,6473.33583489387
"CK2","CK2","NO system","Nitrogen fixation",637.333333333333,250.570016828298,386.763316505036,887.903350161631
"CK2","CK2","NO system","Urea decomposition",650.666666666667,229.968113731737,420.698552934929,880.634780398404
"NH1","NH_Low","NH system","Nitrification",1532,397.834136293003,1134.165863707,1929.834136293
"NH1","NH_Low","NH system","Denitrification",9604,1836.72316912484,7767.27683087516,11440.7231691248
"NH1","NH_Low","NH system","DNRA",612.666666666667,158.370872742854,454.295793923812,771.037539409521
"NH1","NH_Low","NH system","Ammonia assimilation",8028.66666666667,1631.2367496269,6397.42991703977,9659.90341629357
"NH1","NH_Low","NH system","Nitrogen fixation",430.666666666667,129.34192411331,301.324742553356,560.008590779977
"NH1","NH_Low","NH system","Urea decomposition",800.666666666667,74.3325859454205,726.334080721246,874.999252612087
"NH2","NH_Mid","NH system","Nitrification",1016,341.830367287636,674.169632712364,1357.83036728764
"NH2","NH_Mid","NH system","Denitrification",8949.33333333333,1690.59082374575,7258.74250958758,10639.9241570791
"NH2","NH_Mid","NH system","DNRA",478,159.210552414091,318.789447585909,637.210552414091
"NH2","NH_Mid","NH system","Ammonia assimilation",6773.33333333333,1042.00639793301,5731.32693540032,7815.33973126635
"NH2","NH_Mid","NH system","Nitrogen fixation",376.666666666667,139.489545605874,237.177121060792,516.156212272541
"NH2","NH_Mid","NH system","Urea decomposition",644,231.939647322315,412.060352677685,875.939647322315
"NH3","NH_High","NH system","Nitrification",1393.33333333333,440.096959013958,953.236374319375,1833.43029234729
"NH3","NH_High","NH system","Denitrification",9422.66666666667,835.996012749662,8586.670653917,10258.6626794163
"NH3","NH_High","NH system","DNRA",623.333333333333,341.715281094266,281.618052239067,965.0486144276
"NH3","NH_High","NH system","Ammonia assimilation",7505.33333333333,1609.93084737616,5895.40248595717,9115.2641807095
"NH3","NH_High","NH system","Nitrogen fixation",377.333333333333,164.940393273853,212.39294005948,542.273726607186
"NH3","NH_High","NH system","Urea decomposition",748.666666666667,260.13329916282,488.533367503846,1008.79996582949
"NO1","NO_Low","NO system","Nitrification",994.666666666667,1311.86787952649,0,2306.53454619316
"NO1","NO_Low","NO system","Denitrification",6290.66666666667,2570.2181489775,3720.44851768917,8860.88481564417
"NO1","NO_Low","NO system","DNRA",404,370.405183549043,33.5948164509573,774.405183549043
"NO1","NO_Low","NO system","Ammonia assimilation",6503.33333333333,2447.08343407685,4056.24989925649,8950.41676741018
"NO1","NO_Low","NO system","Nitrogen fixation",448.666666666667,211.946534138526,236.720132528141,660.613200805193
"NO1","NO_Low","NO system","Urea decomposition",734,119.146968068852,614.853031931148,853.146968068852
"NO2","NO_Mid","NO system","Nitrification",1764,1236.76351822004,527.236481779965,3000.76351822004
"NO2","NO_Mid","NO system","Denitrification",9957.33333333333,438.184131768065,9519.14920156527,10395.5174651014
"NO2","NO_Mid","NO system","DNRA",641.333333333333,117.308709537414,524.02462379592,758.642042870747
"NO2","NO_Mid","NO system","Ammonia assimilation",7645.33333333333,1999.65830414432,5645.67502918901,9644.99163747765
"NO2","NO_Mid","NO system","Nitrogen fixation",426.666666666667,236.654459779091,190.012206887576,663.321126445757
"NO2","NO_Mid","NO system","Urea decomposition",700.666666666667,164.259956572907,536.40671009376,864.926623239574
"NO3","NO_High","NO system","Nitrification",1510.66666666667,784.666383460725,726.000283205942,2295.33305012739
"NO3","NO_High","NO system","Denitrification",8312,1661.75930868462,6650.24069131538,9973.75930868462
"NO3","NO_High","NO system","DNRA",562.666666666667,188.990299574696,373.676367091971,751.656966241363
"NO3","NO_High","NO system","Ammonia assimilation",6851.33333333333,1173.75693111195,5677.57640222139,8025.09026444528
"NO3","NO_High","NO system","Nitrogen fixation",418.666666666667,196.003401331031,222.663265335635,614.670067997698
"NO3","NO_High","NO system","Urea decomposition",684,50.3189825016365,633.681017498364,734.318982501636
