"Gene","Group_raw","Mean","SD","ymin","ymax","Letter","Gene_label"
"hao","CK1",1412,990.741136725431,421.258863274569,2402.74113672543,"a","hao"
"hao","CK2",1168,698.07735960995,469.92264039005,1866.07735960995,"a","hao"
"hao","NH1",1532,397.834136293003,1134.165863707,1929.834136293,"a","hao"
"hao","NH2",1016,341.830367287636,674.169632712364,1357.83036728764,"a","hao"
"hao","NH3",1393.33333333333,440.096959013958,953.236374319375,1833.43029234729,"a","hao"
"hao","NO1",994.666666666667,1311.86787952649,0,2306.53454619316,"a","hao"
"hao","NO2",1764,1236.76351822004,527.236481779965,3000.76351822004,"a","hao"
"hao","NO3",1510.66666666667,784.666383460725,726.000283205942,2295.33305012739,"a","hao"
"nifD","CK1",76.6666666666667,24.1936630821654,52.4730035845013,100.860329748832,"a","nifD"
"nifD","CK2",130.666666666667,98.2310202193448,32.4356464473218,228.897686886012,"a","nifD"
"nifD","NH1",76.6666666666667,13.6137185711081,63.0529480955586,90.2803852377748,"a","nifD"
"nifD","NH2",78.6666666666667,40.4639757479827,38.202690918684,119.130642414649,"a","nifD"
"nifD","NH3",61.3333333333333,38.4360941477322,22.8972391856011,99.7694274810655,"a","nifD"
"nifD","NO1",86,37.0405183549043,48.9594816450957,123.040518354904,"a","nifD"
"nifD","NO2",75.3333333333333,36.8962509387246,38.4370823946088,112.229584272058,"a","nifD"
"nifD","NO3",70.6666666666667,33.1260219968129,37.5406446698538,103.79268866348,"a","nifD"
"nifH","CK1",178.666666666667,63.1294965395205,115.537170127146,241.796163206187,"a","nifH"
"nifH","CK2",248,53.9258750508511,194.074124949149,301.925875050851,"a","nifH"
"nifH","NH1",208,74.9399759807808,133.060024019219,282.939975980781,"a","nifH"
"nifH","NH2",180.666666666667,72.45228314783,108.214383518837,253.118949814497,"a","nifH"
"nifH","NH3",172.666666666667,58.2866479850517,114.380018681615,230.953314651718,"a","nifH"
"nifH","NO1",189.333333333333,77.4682730757136,111.86506025762,266.801606409047,"a","nifH"
"nifH","NO2",202,94.2974018730103,107.70259812699,296.29740187301,"a","nifH"
"nifH","NO3",197.333333333333,101.080825745209,96.2525075881242,298.414159078542,"a","nifH"
"nifK","CK1",150.666666666667,55.5097589017763,95.1569077648903,206.176425568443,"a","nifK"
"nifK","CK2",258.666666666667,99.4451272478111,159.221539418856,358.111793914478,"a","nifK"
"nifK","NH1",146,45.2106182218293,100.789381778171,191.210618221829,"a","nifK"
"nifK","NH2",117.333333333333,31.3900196453161,85.9433136880172,148.723352978649,"a","nifK"
"nifK","NH3",143.333333333333,68.8573404462686,74.4759928870648,212.190673779602,"a","nifK"
"nifK","NO1",173.333333333333,98.3327683599589,75.0005649733744,271.666101693292,"a","nifK"
"nifK","NO2",149.333333333333,111.163543184505,38.1697901488282,260.496876517838,"a","nifK"
"nifK","NO3",150.666666666667,62.26823695379,88.3984297128767,212.934903620457,"a","nifK"
"nirK","CK1",3244,65.8483105326173,3178.15168946738,3309.84831053262,"a","nirK"
"nirK","CK2",2604,648.308568507312,1955.69143149269,3252.30856850731,"b","nirK"
"nirK","NH1",4524,1065.01455389117,3458.98544610883,5589.01455389117,"a","nirK"
"nirK","NH2",3946.66666666667,664.293107997767,3282.3735586689,4610.95977466443,"a","nirK"
"nirK","NH3",4648,233.54656923192,4414.45343076808,4881.54656923192,"a","nirK"
"nirK","NO1",2732,763.8114950693,1968.1885049307,3495.8114950693,"b","nirK"
"nirK","NO2",4709.33333333333,315.983121912126,4393.35021142121,5025.31645524546,"a","nirK"
"nirK","NO3",3729.33333333333,1009.49360242318,2719.83973091015,4738.82693575652,"ab","nirK"
"nirS","CK1",1418.66666666667,656.260111033219,762.406555633447,2074.92677769989,"a","nirS"
"nirS","CK2",1222.66666666667,537.257231997237,685.409434669429,1759.9238986639,"a","nirS"
"nirS","NH1",1613.33333333333,546.425963267974,1066.90737006536,2159.75929660131,"a","nirS"
"nirS","NH2",1738.66666666667,340.031371101746,1398.63529556492,2078.69803776841,"a","nirS"
"nirS","NH3",1412,453.484288592229,958.515711407771,1865.48428859223,"a","nirS"
"nirS","NO1",1129.33333333333,1083.71459957561,45.6187337577194,2213.04793290895,"a","nirS"
"nirS","NO2",1697.33333333333,730.614353358414,966.718979974919,2427.94768669175,"a","nirS"
"nirS","NO3",1358.66666666667,130.128141972954,1228.53852469371,1488.79480863962,"a","nirS"
"norB","CK1",1140,225.884926455928,914.115073544072,1365.88492645593,"a","norB"
"norB","CK2",1149.33333333333,192.013888386578,957.319444946755,1341.34722171991,"a","norB"
"norB","NH1",1454.66666666667,234.82191834097,1219.8447483257,1689.48858500764,"a","norB"
"norB","NH2",1374.66666666667,241.738150347299,1132.92851631937,1616.40481701397,"a","norB"
"norB","NH3",1140,219.96363335788,920.03636664212,1359.96363335788,"a","norB"
"norB","NO1",1084,453.67830012025,630.32169987975,1537.67830012025,"a","norB"
"norB","NO2",1418.66666666667,93.8367376528688,1324.8299290138,1512.50340431954,"a","norB"
"norB","NO3",1633.33333333333,542.76821326726,1090.56512006607,2176.10154660059,"a","norB"
"norC","CK1",173.333333333333,36.6787858759438,136.65454745739,210.012119209277,"a","norC"
"norC","CK2",143.333333333333,64.2598889925382,79.0734443407951,207.593222325872,"a","norC"
"norC","NH1",160,46.1302503786832,113.869749621317,206.130250378683,"a","norC"
"norC","NH2",168,54.4426303552648,113.557369644735,222.442630355265,"a","norC"
"norC","NH3",146.666666666667,37.2200662725543,109.446600394112,183.886732939221,"a","norC"
"norC","NO1",126.666666666667,54.3077649451101,72.3589017215565,180.974431611777,"a","norC"
"norC","NO2",137.333333333333,30.2875111776015,107.045822155732,167.620844510935,"a","norC"
"norC","NO3",161.333333333333,25.0066657780147,136.326667555319,186.339999111348,"a","norC"
"nosZ","CK1",1374.66666666667,119.353815746851,1255.31285091982,1494.02048241352,"a","nosZ"
"nosZ","CK2",1398.66666666667,207.935887555115,1190.73077911155,1606.60255422178,"a","nosZ"
"nosZ","NH1",1852,339.505522782767,1512.49447721723,2191.50552278277,"a","nosZ"
"nosZ","NH2",1721.33333333333,570.926732018508,1150.40660131483,2292.26006535184,"a","nosZ"
"nosZ","NH3",2076,259.876893932493,1816.12310606751,2335.87689393249,"a","nosZ"
"nosZ","NO1",1218.66666666667,444.150124770143,774.516541896524,1662.81679143681,"a","nosZ"
"nosZ","NO2",1994.66666666667,212.01257824321,1782.65408842346,2206.67924490988,"a","nosZ"
"nosZ","NO3",1429.33333333333,313.747244343808,1115.58608898953,1743.08057767714,"a","nosZ"
"nrfA","CK1",281.333333333333,74.0090084606822,207.324324872651,355.342341794016,"a","nrfA"
"nrfA","CK2",260,32.7414110874898,227.25858891251,292.74141108749,"a","nrfA"
"nrfA","NH1",328.666666666667,91.5277735626369,237.13889310403,420.194440229304,"a","nrfA"
"nrfA","NH2",286,137.389955964765,148.610044035235,423.389955964765,"a","nrfA"
"nrfA","NH3",358.666666666667,192.513203010426,166.153463656241,551.179869677092,"a","nrfA"
"nrfA","NO1",264,213.326041542049,50.673958457951,477.326041542049,"a","nrfA"
"nrfA","NO2",393.333333333333,61.133733186624,332.199600146709,454.467066519957,"a","nrfA"
"nrfA","NO3",345.333333333333,125.57600620076,219.757327132573,470.909339534093,"a","nrfA"
