"Gene","Control","Treatment","P_value","Significance"
"hao","CK1","NH1",0.859696943904389,""
"hao","CK1","NH2",0.568566278381081,""
"hao","CK1","NH3",0.978231396978281,""
"nifD","CK1","NH1",1,""
"nifD","CK1","NH2",0.94569606470243,""
"nifD","CK1","NH3",0.595580043129149,""
"nifH","CK1","NH1",0.632211510999728,""
"nifH","CK1","NH2",0.973002143558132,""
"nifH","CK1","NH3",0.909598217479502,""
"nifK","CK1","NH1",0.915758178724263,""
"nifK","CK1","NH2",0.428922461653092,""
"nifK","CK1","NH3",0.893049494064001,""
"nirK","CK1","NH1",0.172358319206947,""
"nirK","CK1","NH2",0.207409098336936,""
"nirK","CK1","NH3",0.00587892721888364,"**"
"nirS","CK1","NH1",0.71374234581004,""
"nirS","CK1","NH2",0.507746137035643,""
"nirS","CK1","NH3",0.989225838857855,""
"norB","CK1","NH1",0.169808335553686,""
"norB","CK1","NH2",0.286876192981465,""
"norB","CK1","NH3",1,""
"norC","CK1","NH1",0.716105802585316,""
"norC","CK1","NH2",0.895799050227474,""
"norC","CK1","NH3",0.426695943435882,""
"nosZ","CK1","NH1",0.12328812544802,""
"nosZ","CK1","NH2",0.403975009309544,""
"nosZ","CK1","NH3",0.0272512483467174,"*"
"nrfA","CK1","NH1",0.526037666398125,""
"nrfA","CK1","NH2",0.961878153107608,""
"nrfA","CK1","NH3",0.569203165060053,""
"hao","CK2","NO1",0.852626848029106,""
"hao","CK2","NO2",0.517475656146224,""
"hao","CK2","NO3",0.602566903186091,""
"nifD","CK2","NO1",0.522890120989251,""
"nifD","CK2","NO2",0.438912115035096,""
"nifD","CK2","NO3",0.404661736651561,""
"nifH","CK2","NO1",0.349000281059495,""
"nifH","CK2","NO2",0.513601634762054,""
"nifH","CK2","NO3",0.498541963601775,""
"nifK","CK2","NO1",0.350192634719056,""
"nifK","CK2","NO2",0.2738353189239,""
"nifK","CK2","NO3",0.199407983758629,""
"nirK","CK2","NO1",0.835974352455899,""
"nirK","CK2","NO2",0.0162006675830865,"*"
"nirK","CK2","NO3",0.191715341883425,""
"nirS","CK2","NO1",0.90233805583922,""
"nirS","CK2","NO2",0.420134616684572,""
"nirS","CK2","NO3",0.707610170268867,""
"norB","CK2","NO1",0.834637020392452,""
"norB","CK2","NO2",0.120010949246832,""
"norB","CK2","NO3",0.258711992824589,""
"norC","CK2","NO1",0.749244765821248,""
"norC","CK2","NO2",0.893433093803443,""
"norC","CK2","NO3",0.686272293197261,""
"nosZ","CK2","NO1",0.572517714164396,""
"nosZ","CK2","NO2",0.0254550267875437,"*"
"nosZ","CK2","NO3",0.895575164723198,""
"nrfA","CK2","NO1",0.977190072038745,""
"nrfA","CK2","NO2",0.0434277247781708,"*"
"nrfA","CK2","NO3",0.360578450150405,""
