folder,filename,path,suffix,size_kb
data,ThreeGroups_FunctionalGenes_PERMANOVA.csv,data/ThreeGroups_FunctionalGenes_PERMANOVA.csv,.csv,0.2
data,Correlation_Pvalue.csv,data/Correlation_Pvalue.csv,.csv,4.53
data,ThreeGroups_FunctionalGenes_ANOSIM.csv,data/ThreeGroups_FunctionalGenes_ANOSIM.csv,.csv,0.06
data,Nitrogen_Function_Barplot_Pvalues.csv,data/Nitrogen_Function_Barplot_Pvalues.csv,.csv,2.42
data,Nitrogen_Function_Barplot_Data_With_Letters.csv,data/Nitrogen_Function_Barplot_Data_With_Letters.csv,.csv,6.95
data,RDA_Useful_Results.xlsx,data/RDA_Useful_Results.xlsx,.xlsx,10.62
data,.gitkeep,data/.gitkeep,,0.02
data,Figure_Process_Module_Abundance_Data.csv,data/Figure_Process_Module_Abundance_Data.csv,.csv,5.14
data,Correlation_Coefficient.csv,data/Correlation_Coefficient.csv,.csv,4.59
data,Figure_Process_Gene_Bubble_Heatmap_Data.csv,data/Figure_Process_Gene_Bubble_Heatmap_Data.csv,.csv,10.33
figures,RDA_Plot.png,figures/RDA_Plot.png,.png,176.36
figures,Alpha_Diversity_Boxplot_Zscore_FINAL.png,figures/Alpha_Diversity_Boxplot_Zscore_FINAL.png,.png,253.55
figures,Figure_Process_Module_Abundance.png,figures/Figure_Process_Module_Abundance.png,.png,480.56
figures,Final_Significant_Genes_Barplot.png,figures/Final_Significant_Genes_Barplot.png,.png,968.9
figures,ThreeGroups_FunctionalGenes_PCoA.png,figures/ThreeGroups_FunctionalGenes_PCoA.png,.png,209.33
figures,.gitkeep,figures/.gitkeep,,0.02
figures,Figure_Process_Gene_Bubble_Heatmap.png,figures/Figure_Process_Gene_Bubble_Heatmap.png,.png,931.99
figures,Correlation_Heatmap.png,figures/Correlation_Heatmap.png,.png,82.77
figures,ThreeGroups_FunctionalGenes_NMDS.png,figures/ThreeGroups_FunctionalGenes_NMDS.png,.png,215.71
zotero,zotero_export.ris.ris,zotero/zotero_export.ris.ris,.ris,235.0
zotero,.gitkeep,zotero/.gitkeep,,0.02
