title,authors,journal,year,doi,abstract,tags
Metagenomics reveals the response of desert steppe microbial communities and carbon-nitrogen cycling functional genes to nitrogen deposition,He Ye; Yu Zhao; Shilong He; Zhendan Wu; Mei Yue; Mei Hong,Frontiers in Microbiology,2024,10.3389/fmicb.2024.1369196,"Introduction Nitrogen (N) deposition seriously affects the function of carbon (C) and N cycling in terrestrial ecosystems by altering soil microbial communities, especially in desert steppe ecosystems. However, there is a need for a comprehensive understanding of how microorganisms involved in each C and N cycle process respond to N deposition. Methods In this study, shotgun metagenome sequencing was used to investigate variations in soil C and N cycling-related genes in the desert steppe in northern China after 6 years of the following N deposition: N0 (control); N30 (N addition 30 kg ha −1 year −1 ): N50 (N addition 50 kg ha −1 year −1 ). Results N deposition significantly increased the relative abundance of Actinobacteria ( P < 0.05) while significantly decreased the relative abundances of Proteobacteria and Acidobacteria ( P < 0.05). This significantly impacted the microbial community composition in desert steppe soils. The annual addition or deposition of 50 kg ha −1 year −1 for up to 6 years did not affect the C cycle gene abundance but changed the C cycle-related microorganism community structure. The process of the N cycle in the desert steppe was affected by N deposition (50 kg ha −1 year −1 ), which increased the abundance of the pmoA-amoA gene related to nitrification and the nirB gene associated with assimilation nitrite reductase. There may be a niche overlap between microorganisms involved in the same C and N cycling processes. Discussion This study provides new insights into the effects of N deposition on soil microbial communities and functions in desert steppe and a better understanding of the ecological consequences of anthropogenic N addition.",宏基因组/功能基因；氮添加/氮沉降；氮循环过程；微生物群落
Shrub encroachment alters microbial community composition and soil carbon and nitrogen cycling functional genes in northern peatlands,J. Meren Ao; Xinyu Tang; Zhenxin Li; Zhanhui Tang,Microbiology Spectrum,2025,10.1128/spectrum.00542-25,"ABSTRACT Changes in vegetation, such as shrub encroachment in grassland and wetland ecosystems, significantly influence soil microbial communities and biogeochemical processes. However, the specific impact of shrub encroachment on peatland ecosystems remains poorly understood. This study used a “space-for-time” approach, collecting soil samples from three encroachment stages—uninvaded, shrub invasion, and shrub invasion expansion—at two depths (0–30 cm and 30–60 cm). Metagenomic sequencing was used to assess the microbial community composition and functional gene dynamics. Shrub encroachment significantly alters soil physicochemical properties, nutrient availability, and microbial communities. Alpha diversity of bacteria and fungi was influenced by shrub encroachment and depth, whereas beta diversity varied mainly with depth. Functional carbon fixation genes ( korA and pps ) increased during shrub encroachment, while methane oxidation ( hdrA2 ) and carbon degradation genes ( GH31 and GH51 ) decreased before increasing. In addition, functional genes linked to nitrogen cycling ( nifD , nifH , amoA , and amoC ) declined, indicating a reduction in nitrogen fixation and nitrification pathways. Correlation and Mantel tests revealed that the total soil carbon content was the primary driver of these functional changes. These findings highlight the dynamic microbial responses to shrub encroachment and offer insights into the soil carbon and nitrogen-cycling mechanisms in peatlands. IMPORTANCE Shrub encroachment is transforming peatlands and altering their ecological and biogeochemical functions. This study provides critical insights into how shrub invasion affects microbial communities and functional genes responsible for carbon and nitrogen cycling in peatland soils. By revealing the underlying genetic mechanisms, this study enhances our understanding of the consequences of vegetation shifts on ecosystem processes. These findings are essential for predicting and managing peatland responses to environmental changes, helping to preserve their role as vital carbon and nutrient reservoirs.",宏基因组/功能基因；氮循环过程；滨海湿地/盐沼；微生物群落
"Effects of pepper–maize intercropping on the physicochemical properties, microbial communities, and metabolites of rhizosphere and bulk soils",Zeli Chen; Wenzhi Wang; Lu Chen; Peng Zhang; Zhenhuan Liu; Xukun Yang; Jin Shao; Yan Ding,Environmental Microbiome,2024,10.1186/s40793-024-00653-7,"BACKGROUND: Intercropping increases land use efficiency and farmland ecological diversity. However, little is understood about whether and how soil biota, metabolites, and nutrients change under interspecific competition among plants. Thus, this study aimed to explore the changes in the physicochemical properties, microbial communities, and metabolites of rhizosphere and bulk soils of pepper monocropping and pepper-maize intercropping systems. RESULTS: Intercropping significantly increased the contents of available phosphorus (AP) and available potassium (AK), and decreased the pH value, whereas it had little effect on the total nitrogen (TN) and organic matter (OM) in the rhizosphere and bulk soils, compared with those in monocropping pepper. Moreover, the OM content was higher in rhizosphere soil than in bulk soil. The microbial community structures and metabolite profiles also differed between the two systems. The diversity of bacteria and fungi increased in intercropped pepper. The relative abundances of Actinobacteria, Chloroflexi, Cyanobacteria, and Ascomycota were higher while those of Proteobacteria, Planctomycetes, Mucoromycota, and Basidiomycota were significantly lower in the rhizosphere and bulk soils from the intercropping system than in those from the monocropping system. Linear discriminant analysis revealed that the predominant bacteria and fungi in the rhizosphere soil from the intercropping system belonged to the order Sphingomonadales and genera Nitrospira, Phycicoccus and Auricularia, whereas those in the bulk soil from the intercropping system belonged to the phylum Acidobacteria and genera Calocera, Pseudogymnoascus, and Trichosporon. Intercropping promoted the secretion of flavonoids, alkaloids, and nucleotides and their derivatives in the rhizosphere soil and significantly increased the contents of organoheterocyclic compounds in the bulk soil. Furthermore, the AP and AK contents, and pH value had strong positive correlations with bacteria. In addition, co-occurrence network analysis also showed that asebogenin, trachelanthamidine, 5-methyldeoxycytidine, and soil pH were the key factors mediating root-soil-microbe interactions. CONCLUSION: Intercropping can alter microbial community structures and soil metabolite composition in rhizosphere and bulk soils, enhancing soil nutrient contents, enriching soil beneficial microbes and secondary metabolites (flavonoids and alkaloids) of intercropped pepper, and provided a scientific basis for sustainable development in the pepper-maize intercropping system.",微生物群落
Immediate response of paddy soil microbial community and structure to moisture changes and nitrogen fertilizer application,Linrong Han; Hongling Qin; Jingyuan Wang; Dongliang Yao; Leyan Zhang; Jiahua Guo; Baoli Zhu,Frontiers in Microbiology,2023,10.3389/fmicb.2023.1130298,"Water and fertilizer managements are the most common practices to maximize crop yields, and their long-term impact on soil microbial communities has been extensively studied. However, the initial response of microbes to fertilization and soil moisture changes remains unclear. In this study, the immediate effects of nitrogen (N)-fertilizer application and moisture levels on microbial community of paddy soils were investigated through controlled incubation experiments. Amplicon sequencing results revealed that moisture had a stronger influence on the abundance and community composition of total soil bacteria, as well as ammonia oxidizing-archaea (AOA) and -bacteria (AOB). Conversely, fertilizer application noticeably reduced the connectivity and complexity of the total bacteria network, and increasing moisture slightly exacerbated these effects. NH 4 + -N content emerged as a significant driving force for changes in the structure of the total bacteria and AOB communities, while NO 3 − -N content played more important role in driving shifts in AOA composition. These findings indicate that the initial responses of microbial communities, including abundance and composition, and network differ under water and fertilizer managements. By providing a snapshot of microbial community structure following short-term N-fertilizer and water treatments, this study contributes to a better understanding of how soil microbes respond to long-term agriculture managements.",氮添加/氮沉降；微生物群落
"Effects of continuous cropping of Pinellia ternata (Thunb.) Breit. on soil physicochemical properties, enzyme activities, microbial communities and functional genes",Yuan Zhao; Xiaomeng Qin; Xueping Tian; Tao Yang; Rong Deng; Jun Huang,Chemical and Biological Technologies in Agriculture,2021,10.1186/s40538-021-00243-6,"Abstract Background Pinellia ternata (Thunb.) Breit. is a commonly used herb in traditional Chinese medicine, and the main raw material of various Chinese patent medicines. Continuous cropping obstacle (CCO) is the main factor leading to the decline of crop yields and quality. Methods Metagenomics sequencing technology was used to analyze the microbial community and functional genes of continuous cropping (CC) and control (CK) soils of P. ternata . In addition, differences in physicochemical properties, enzyme activities, microbial community composition and the abundance of functional genes in CC and CK were evaluated, as well as the relationship between these factors and CCO. Results Results indicated that CC of P. ternata led to the decline of rhizosphere soil pH, nutrient imbalance and enzyme activity reduction. Metagenomic analysis indicted that CC also changed the composition of the microbial community, causing an increase in the relative abundance of pathogenic microorganisms such as Fusarium , Klebsiella oxytoca and Pectobacterium carotovorum in the P. ternata rhizosphere. The relative abundance of potentially beneficial Burkholderia and Bradyrhizobium was recorded to decrease. Results also showed that there were considerable differences in CC and CK about the abundances of functional genes related to soil enzymes and the degradation of P. ternata allelochemicals, as well as the microbial groups which they belong. These results clarified the effects of CC on the microbial community structure and functional genes of soil. In addition, Burkholderia and Bradyrhizobium might play important roles in enhancing soil fertility and reducing the toxicity of phenolic acids in rhizosphere soil. Conclusions CC of P. ternata changed the physicochemical properties, microbial community and functional genes of rhizosphere soil. Burkholderia and Bradyrhizobium for enhancing soil fertility and reducing the toxicity of phenolic acids might be potentially beneficial. These results provide theoretical guidance for bioremediation of CCO soil of P. ternata and other staple crops. Graphic abstract",宏基因组/功能基因；微生物群落
Dynamic root microbiome sustains soybean productivity under unbalanced fertilization,Mingxing Wang; An‐Hui Ge; Xingzhu Ma; Xiaolin Wang; Qiujin Xie; Like Wang; Xianwei Song; Mengchen Jiang,Nature Communications,2024,10.1038/s41467-024-45925-5,"Root-associated microbiomes contribute to plant growth and health, and are dynamically affected by plant development and changes in the soil environment. However, how different fertilizer regimes affect quantitative changes in microbial assembly to effect plant growth remains obscure. Here, we explore the temporal dynamics of the root-associated bacteria of soybean using quantitative microbiome profiling (QMP) to examine its response to unbalanced fertilizer treatments (i.e., lacking either N, P or K) and its role in sustaining plant growth after four decades of unbalanced fertilization. We show that the root-associated bacteria exhibit strong succession during plant development, and bacterial loads largely increase at later stages, particularly for Bacteroidetes. Unbalanced fertilization has a significant effect on the assembly of the soybean rhizosphere bacteria, and in the absence of N fertilizer the bacterial community diverges from that of fertilized plants, while lacking P fertilizer impedes the total load and turnover of rhizosphere bacteria. Importantly, a SynCom derived from the low-nitrogen-enriched cluster is capable of stimulating plant growth, corresponding with the stabilized soybean productivity in the absence of N fertilizer. These findings provide new insights in the quantitative dynamics of the root-associated microbiome and highlight a key ecological cluster with prospects for sustainable agricultural management.",氮添加/氮沉降；微生物群落
Impact of nitrogen and phosphorus amendments on nitrogen‐cycling microbial abundances and potentials: A meta‐analysis,Yuqian Tang; Yanru Jia; Siqin Zhang; Yanjie Zhang,European Journal of Soil Science,2024,10.1111/ejss.13585,"The rapid increase in nitrogen (N) and phosphorus (P) availabilities in terrestrial ecosystems has led to sustained shifts in soil microbial communities and microbially‐mediated N‐cycling. However, the specific effects of N and P amendments on N‐cycling microbes are poorly understood. This meta‐analysis synthesizes the effects of N and/or P amendments on the abundances and functional potentials of N‐cycling genes involved in N₂ fixation, organic N mineralization, nitrification, and denitrification across natural ecosystems and diverse soil conditions in China. Our findings indicate that ammonia‐oxidizing bacteria (AOB) showed greater responsiveness to N amendment than ammonia‐oxidizing archaea (AOA), and AOB amoA abundance increased while AOA amoA abundance decreased with P amendments. Additionally, the abundance of nirS declined, while nirK abundance remained unresponsive to both N and P amendments. These findings highlight the distinct ecological niches occupied by microbial groups with equivalent functions in response to N and P amendments. Moreover, our findings indicate that soil N and P availabilities, along with soil acidification induced by N additions and microbial biomass carbon content, are key factors regulating N‐cycling gene abundances and potentials. The driving mechanisms for N‐cycling genes and their corresponding potentials appear to be distinct, with gene abundance showing only a limited influence on functional potentials. This suggests that factors such as soil properties and microbial community compositions may be more critical determinants of N‐cycling processes than functional gene abundances with regard to scenarios of increasing N and P deposition.",宏基因组/功能基因；氮循环过程；微生物群落
Effect of Nitrogen Addition on Soil Microbial Functional Gene Abundance and Community Diversity in Permafrost Peatland,Xiuyan Ma; Yanyu Song; Changchun Song; Xian‐Wei Wang; Nannan Wang; Siqi Gao; Xiaofeng Cheng; Zhendi Liu,Microorganisms,2021,10.3390/microorganisms9122498,"Nitrogen is the limiting nutrient for plant growth in peatland ecosystems. Nitrogen addition significantly affects the plant biomass, diversity and community structure in peatlands. However, the response of belowground microbe to nitrogen addition in peatland ecosystems remains largely unknown. In this study, we performed long-term nitrogen addition experiments in a permafrost peatland in the northwest slope of the Great Xing’an Mountains. The four nitrogen addition treatments applied in this study were 0 g N·m−2·year−1 (CK), 6 g N·m−2·year−1 (N1), 12 g N·m−2·year−1 (N2), and 24 g N·m−2·year−1 (N3). Effects of nitrogen addition over a period of nine growing seasons on the soil microbial abundance and community diversity in permafrost peatland were analyzed. The results showed that the abundances of soil bacteria, fungi, archaea, nitrogen-cycling genes (nifH and b-amoA), and mcrA increased in N1, N2, and N3 treatments compared to CK. This indicated that nitrogen addition promoted microbial decomposition of soil organic matter, nitrogen fixation, ammonia oxidation, nitrification, and methane production. Moreover, nitrogen addition altered the microbial community composition. At the phylum level, the relative abundance of Proteobacteria increased significantly in the N2 treatment. However, the relative abundances of Actinobacteria and Verrucifera in the N2 treatment and Patescibacteria in the N1 treatment decreased significantly. The heatmap showed that the dominant order composition of soil bacteria in N1, N2, and N3 treatments and the CK treatment were different, and the dominant order composition of soil fungi in CK and N3 treatments were different. The N1 treatment showed a significant increase in the Ace and Chao indices of bacteria and Simpson index of fungi. The outcomes of this study suggest that nitrogen addition altered the soil microbial abundance, community structure, and diversity, affecting the soil microbial carbon and nitrogen cycling in permafrost peatland. The results are helpful to understand the microbial mediation on ecological processes in response to N addition.",宏基因组/功能基因；氮添加/氮沉降；氮循环过程；微生物群落
Distinct Responses of Abundant and Rare Soil Bacteria to Nitrogen Addition in Tropical Forest Soils,Jinhong He; Xiangping Tan; Yanxia Nie; Lei Ma; Juxiu Liu; X. L. Lu; Jiangming Mo; Julie Leloup,Microbiology Spectrum,2023,10.1128/spectrum.03003-22,"Atmospheric nitrogen (N) deposition is a worldwide environmental problem and threatens biodiversity and ecosystem functioning. Understanding the responses of community dynamics and assembly processes of abundant and rare soil bacterial taxa to anthropogenic N enrichment is vital for the management of N-polluted forest soils. Our sequence-based data revealed distinct responses in bacterial diversity, community composition, environmental acclimation, and assembly processes between abundant and rare taxa under N-addition soils in tropical forests. These findings provide new insight into the formation and maintenance of bacterial diversity and offer a way to better predict bacterial responses to the ongoing atmospheric N deposition in tropical forests.",氮添加/氮沉降
"Microbial Communities, Functional Genes, and Nitrogen Cycling Processes as Affected by Tree Species",Relena R. Ribbons; Morag A. Mcdonald; Lars Vesterdal,Soil Biological Communities and Ecosystem Resilience,2017,10.1007/978-3-319-63336-7_13,,宏基因组/功能基因
